y,x,lon,lat,Average Wind Speed at 110m (m/s),NREL ATB Wind Class,Representative Wind Turbine,Capacity Factors,Capacity Factors,Spur Line Cost (USD/MW),LCOE (USD/MWh),Availability Fraction,Maximum Capacity (MW)
42.0,-94.25,-94.25,42.0,6.675357,8,T2,0.3505051826238632,0.3505051826238632,1777.6475804468719,69.19691396284553,0.0,0.0
42.0,-94.0,-94.0,42.0,6.676104,8,T2,0.34974125887453555,0.34974125887453555,1774.0602112084673,69.27251133248534,0.0,0.0
42.0,-93.75,-93.75,42.0,6.6642404,8,T2,0.3482390926480293,0.3482390926480293,1771.7077581599763,69.52157173729611,0.0,0.0
42.0,-93.5,-93.5,42.0,6.6762757,8,T2,0.34994427700340747,0.34994427700340747,1770.5951662686196,69.15939537779708,0.0,0.0
42.0,-93.25,-93.25,42.0,6.696351,8,T2,0.35270659169554713,0.35270659169554713,1770.724783392602,68.6204619866495,0.0,0.0
42.0,-93.0,-93.0,42.0,6.6807175,8,T2,0.3518819246441126,0.3518819246441126,1772.096335703152,68.80998798723823,0.0,0.0
42.0,-92.75,-92.75,42.0,6.669604,8,T2,0.35118331876397135,0.35118331876397135,1774.7061324261729,69.00160501623206,0.0,0.0
42.0,-92.5,-92.5,42.0,6.6703343,8,T2,0.3512075523883104,0.3512075523883104,1778.5493913929126,69.07744098097498,0.0,0.0
42.0,-92.25,-92.25,42.0,6.63637,8,T2,0.34692271754145626,0.34692271754145626,1783.6182043620315,70.03822609774753,0.0,0.0
42.0,-92.0,-92.0,42.0,6.603369,8,T2,0.34268608936667444,0.34268608936667444,1767.189530220628,70.55101510082258,0.0,0.0
42.0,-91.75,-91.75,42.0,6.581217,8,T2,0.3402117118239403,0.3402117118239403,1717.7407559929986,69.99362793527288,0.0,0.0
42.0,-91.5,-91.5,42.0,6.5904374,8,T2,0.34151702690124514,0.34151702690124514,1668.2912183661383,68.65967145967895,0.0,0.0
42.0,-91.25,-91.25,42.0,6.5804048,8,T2,0.3406434293538332,0.3406434293538332,1618.8412934183993,67.7665761653532,0.0,0.0
42.0,-91.0,-91.0,42.0,6.5270486,9,T3,0.3927855898322011,0.3927855898322011,1569.391391035038,61.93705721498256,0.0,0.0
42.0,-90.75,-90.75,42.0,6.3518367,9,T3,0.3720958458966513,0.3720958458966513,1519.941960418564,64.40216812784256,0.0,0.0
42.0,-90.5,-90.5,42.0,6.074313,9,T3,0.33822943427786367,0.33822943427786367,1470.4934967092709,69.77388610603037,0.0,0.0
42.0,-90.25,-90.25,42.0,5.883704,10,T4,0.35178021290898326,0.35178021290898326,1421.0465489858996,68.80637529968226,0.0,0.0
42.0,-90.0,-90.0,42.0,5.791268,10,T4,0.3426165154129267,0.3426165154129267,1371.6017299939924,69.58377638513434,0.0,0.0
42.0,-89.75,-89.75,42.0,5.9098835,9,T3,0.31971754653407813,0.31971754653407813,1322.1597280531535,70.3967494571113,0.0,0.0
42.0,-89.5,-89.5,42.0,5.961461,9,T3,0.32635201535108654,0.32635201535108654,1272.721321734265,67.84990394206261,0.0,0.0
42.0,-89.25,-89.25,42.0,5.97702,9,T3,0.3276745859528201,0.3276745859528201,1223.2873980880508,66.46491279673987,0.0,0.0
42.0,-89.0,-89.0,42.0,6.0208626,9,T3,0.3342212866781232,0.3342212866781232,1173.8589754686277,64.07375603808082,0.0,0.0
42.0,-88.75,-88.75,42.0,6.0101137,9,T3,0.332771538105422,0.332771538105422,1124.4372323610755,63.259054260887055,0.0,0.0
42.0,-88.5,-88.5,42.0,5.9281974,9,T3,0.322128795778814,0.322128795778814,1075.0235441378593,64.2192563423265,0.0,0.0
42.0,-88.25,-88.25,42.0,5.6082478,10,T4,0.32045951290428637,0.32045951290428637,1025.6195304068337,66.44311183868851,0.0,0.0
42.0,-88.0,-88.0,42.0,5.7560434,10,T4,0.3380255030542612,0.3380255030542612,976.2271166853778,61.91409430098199,0.0,0.0
42.0,-87.75,-87.75,42.0,6.236084,9,T3,0.3583104683953024,0.3583104683953024,926.8486157170253,54.68870525222101,0.0,0.0
42.0,-87.5,-87.5,42.0,6.995244,8,T2,0.38105738431215286,0.38105738431215286,877.4868361230682,46.250315870406226,0.0,0.0
42.0,-87.25,-87.25,42.0,7.2420883,7,T1,0.40283979347348214,0.40283979347348214,828.1452297203973,42.597462097991766,0.0,0.0
