,0
781,0.7072793290256719
782,0.7161203206384927
783,0.4950955303179704
784,0.14440286300940802
785,0.0029469972042736334
786,0.0
787,0.0
788,0.0
789,0.0
790,0.0
791,0.0
792,0.0
793,0.0
794,0.0
795,0.0
796,0.0
797,0.0
798,0.0
799,0.0
800,0.047151955268378135
801,0.14734986021368165
802,0.17092583784787072
803,0.2475477651589852
804,0.31827569806155237
805,0.3123817036530051
806,0.31827569806155237
807,0.13556187139658712
808,0.03831096365555723
809,0.0
810,0.0
811,0.0
812,0.0
813,0.0
814,0.0
815,0.0
816,0.0
817,0.0
818,0.0
819,0.0
820,0.0
821,0.0
822,0.0
823,0.0
824,0.014734986021368164
825,0.05009895247265176
826,0.10314490214957717
827,0.1414558658051344
828,0.15913784903077619
829,0.15619085182650255
830,0.14440286300940802
831,0.10903889655812442
832,0.04125796085983086
833,0.0029469972042736334
834,0.0
835,0.0
836,0.0
837,0.0
838,0.0
839,0.0
840,0.0
841,0.0
842,0.0
843,0.0
844,0.0
845,0.0
846,0.0
847,0.0
848,0.047151955268378135
849,0.17387283505214435
850,0.2946997204273633
851,0.3831096365555723
852,0.38900363096411955
853,0.38900363096411955
854,0.32122269526582603
855,0.19450181548205978
856,0.0707279329025672
857,0.005893994408547267
858,0.0
859,0.0
860,0.0
861,0.0
862,0.0
863,0.0
864,0.0
865,0.0
866,0.0
867,0.0
868,0.0
869,0.0
870,0.0
871,0.0
872,0.03831096365555723
873,0.15913784903077619
874,0.28880572601881604
875,0.42731459461967686
876,0.43910258343677133
877,0.5009895247265176
878,0.4921485331136967
879,0.40373861698548774
880,0.15619085182650255
881,0.0088409916128209
882,0.0
883,0.0
884,0.0
885,0.0
886,0.0
887,0.0
888,0.0
889,0.0
890,0.0
891,0.0
892,0.0
893,0.0
894,0.0
895,0.0
896,0.0029469972042736334
897,0.011787988817094534
898,0.044204958064104495
899,0.05009895247265176
900,0.09725090774102989
901,0.08840991612820899
902,0.07662192731111446
903,0.0353639664512836
904,0.0265229748384627
905,0.0029469972042736334
906,0.0
907,0.0
908,0.0
909,0.0
910,0.0
911,0.0
912,0.0
913,0.0
914,0.0
915,0.0
916,0.0
917,0.0
918,0.0
919,0.0
920,0.0029469972042736334
921,0.0176819832256418
922,0.03831096365555723
923,0.06483393849401993
924,0.08546291892393536
925,0.08251592171966173
926,0.07367493010684083
927,0.04125796085983086
928,0.011787988817094534
929,0.0029469972042736334
930,0.0
931,0.0
932,0.0
933,0.0
934,0.0
935,0.0
936,0.0
937,0.0
938,0.0
939,0.0
940,0.0
941,0.0
942,0.0
943,0.0
944,0.014734986021368164
945,0.04125796085983086
946,0.0707279329025672
947,0.09135691333248262
948,0.1060918993538508
949,0.1149328909666717
950,0.11198589376239806
951,0.09430391053675627
952,0.047151955268378135
953,0.0029469972042736334
954,0.0
955,0.0
956,0.0
957,0.0
958,0.0
959,0.0
960,0.0
961,0.0
962,0.0
963,0.0
964,0.0
965,0.0
966,0.0
967,0.0029469972042736334
968,0.005893994408547267
969,0.032416969247009965
970,0.10019790494530352
971,0.1149328909666717
972,0.1060918993538508
973,0.09430391053675627
974,0.10019790494530352
975,0.08251592171966173
976,0.05009895247265176
977,0.0029469972042736334
