x,y,Max Capacity (MW),LCOE without Spur,LCOE with Spur,Capacity Factor,Interconnection Cost ($/kW),Availability Fraction
-94.75,51.0,0.5779827841676622,57.55798181903885,67.78000932082357,0.20047934140179538,300.8689135151115,4.073574060539082e-05
-94.75,51.25,2.0583949168369977,57.79404832149083,70.31140869113365,0.1996604602485781,366.923450738459,0.0001458529055505078
-94.75,51.5,0.226232635359035,57.83049210122173,72.6142603721729,0.1995346376665822,433.08594426205417,1.61171579471681e-05
-94.75,51.75,278.9436496994112,57.99795446014016,75.08810065807539,0.19895850456980987,499.205005825958,0.019981031077514377
-94.75,52.0,8373.242179608633,58.21129872486567,77.6393023492831,0.19822932214649794,565.4142079655585,0.603093853298039
-94.75,52.25,9147.213090966923,58.47433558823766,80.2807553672593,0.19733762122161802,631.7785875764471,0.6625089457441297
-94.75,52.5,4653.740460240221,58.87048746810484,83.13456885207502,0.19600969490441505,698.2517814149872,0.3389525657050769
-94.75,52.75,10689.033176817298,59.291589378278346,86.02788598593578,0.1946175909348255,763.9307445314315,0.7829452191286252
-94.75,53.0,9389.406512755244,59.975577593464976,89.353949127404,0.1923980851958439,829.8490670014609,0.6916874649143749
-94.75,53.25,142.4897314592123,60.60269101994381,92.67056589742404,0.19040716003353675,896.4459337136082,0.010557401374752065
-94.75,53.5,0.0,60.95286704491007,95.60548998273708,0.18931326526437792,963.1364185507671,0.0
-94.75,53.75,0.0,59.95341981971856,96.39867207068723,0.19246919228621226,1029.8472887301812,0.0
-94.75,54.0,0.0,61.11507609765485,100.67366552744934,0.18881079799457554,1096.5748237846274,0.0
-94.75,54.25,0.0,61.69865470309851,104.06564603192342,0.18702492530875103,1163.3161560326039,0.0
-94.75,54.5,0.0,61.859036687671086,106.77356155941577,0.1865400256030378,1230.0690396380967,0.0
-94.75,54.75,0.0,61.787169238931575,109.08444023684743,0.18675699873666773,1296.8316908193547,0.0
-94.75,55.0,0.0,61.39468768738949,110.80320040900267,0.18795089155356312,1363.3796801403187,0.0
-94.75,55.25,0.0,61.51764941925022,113.44239263830424,0.1875752145348804,1429.948692831062,0.0
-94.75,55.5,0.0,61.99435285949917,116.76491399459485,0.18613286138576593,1496.7211298704028,0.0
-94.75,55.75,0.0,62.449441415241346,120.08368691951873,0.18477645317546712,1563.499995523131,0.0
-94.75,56.0,0.0,62.556049723862166,122.75471820132866,0.18446155629126573,1630.2844998063313,0.0
-94.75,56.25,0.0,62.37460150115721,124.85772444550551,0.18499815645769438,1697.0739770269429,0.0
-94.75,56.5,0.0,62.97433678040539,128.54111128580817,0.18323632891498534,1763.867862272389,0.0
-94.75,56.75,0.0,63.40881173842088,131.92809674799994,0.18198080000457664,1830.6656730409613,0.0
-94.5,41.75,0.0,53.61864569766054,112.13661524262533,0.2152084622309081,1848.924760783941,0.0
-94.5,42.0,0.0,53.670413242250625,110.13933305744551,0.21500088392115266,1782.4623752285916,0.0
-94.5,42.25,0.0,53.80110111710983,108.29779533241957,0.21447862679204027,1716.029797533596,0.0
-94.5,42.5,0.0,53.744794585184664,106.07799427445157,0.21470332850947993,1649.6306289541585,0.0
-94.5,42.75,0.0,53.676165269842656,103.83995971205118,0.21497784406704964,1583.2690728901614,0.0
-94.5,43.0,0.0,53.696027947309624,101.77637741258144,0.2148983216937479,1516.950065677676,0.0
-94.5,43.25,0.0,53.63697201557112,99.5662775725098,0.21513493125875058,1450.679442854073,0.0
